,wvl 480,depth 480,area 480,lr_asym 480,wvl 900,depth 900,area 900,lr_asym 900,wvl 1400,depth 1400,area 1400,lr_asym 1400,wvl 1800,depth 1800,area 1800,lr_asym 1800,wvl 1900,depth 1900,area 1900,lr_asym 1900,wvl 2200,depth 2200,area 2200,lr_asym 2200
0,482,0.006759357458476334,0.13682034916012642,0.9576271186440678,914,0.01080602008158349,0.9585394468231562,0.8947951273532669,1413,0.03754102232063827,1.6493789220348511,0.9738941261783901,1801,0.006844477202704424,0.11159132409992079,0.9954929577464788,1912,0.11278769245033649,9.733095625037969,0.9602754237288136,2208,0.06084391862494598,3.82206163352201,0.9733210671573137
1,485,0.00541481732420257,0.09661859897454206,0.9577167019027484,914,0.007863481127619143,0.6854694245507749,0.8956714761376249,1413,0.03368428003902557,1.5425520439592841,0.9724437998549673,1801,0.00496547691961291,0.09225622358509855,0.9960563380281691,1912,0.10635857086590328,9.438615919677488,0.9598944591029024,2209,0.055858242986169815,3.6309314849016574,0.970615243342516
2,486,0.006142413651515799,0.11872623241182767,0.9555084745762712,914,0.006830714955772699,0.5834937080354627,0.8938053097345132,1414,0.033552032745725935,1.536190485603498,0.9724238026124818,1801,0.00920234621687821,0.15498666237005843,0.9949295774647887,1912,0.10838349396512015,9.383904483803727,0.9607329842931938,2208,0.056803665628441635,3.6959581730300775,0.9719411223551058
3,484,0.004963989645485056,0.09021149474880463,0.9597457627118644,913,0.007996333061390248,0.6949948207745162,0.8977777777777778,1414,0.03273143294243741,1.4792123096010323,0.9725234996384671,1801,0.004653953224739493,0.0896364429288733,0.9943725379853686,1912,0.10620902697572188,9.430223714403096,0.9602964531498147,2208,0.054299767030764,3.630639215514476,0.9688787185354691
4,482,0.012619501777066056,0.2707904357748151,0.9513742071881607,918,0.01341096270880826,1.2421710164572461,0.8904867256637168,1414,0.01346989247122421,0.6300720848988078,0.9731299927378358,1801,0.0031515124501036995,0.061147919116974814,0.9938340807174888,1923,0.05514563354741597,7.414677851561269,0.9339573582943318,2205,0.04781150201417206,2.8799831082840415,0.9769903359410953
5,487,0.008668988538526934,0.17495256077221577,0.9571734475374732,913,0.006848678947391829,0.5768830008189737,0.9010011123470523,1414,0.0328114317837801,1.4819653527712744,0.9725036179450073,1802,0.003040700511790395,0.06338217121364154,0.9915730337078652,1912,0.10777452594433035,9.811340711845391,0.957649550026469,2207,0.055909918798351166,3.587116317090044,0.9724644332262505
6,484,0.005208801675444241,0.09485168670388133,0.9617834394904459,914,0.009677948318223661,0.8582908559107856,0.8926991150442478,1414,0.033694867298368014,1.5298828314489787,0.9724238026124818,1801,0.010200800517591424,0.1631883098541832,0.9932394366197184,1912,0.10654162334902839,9.294216002545284,0.9606712113266911,2209,0.05625330606127232,3.678592211456356,0.9692942254812099
7,484,0.005552845222428937,0.08962000785845103,0.9617834394904459,914,0.008180661295978275,0.7116995471444699,0.8946784922394678,1414,0.03360707711768751,1.556139257963332,0.9724437998549673,1801,0.004076616682422096,0.07540743948984197,0.9960563380281691,1911,0.11123986879373593,9.82485084726981,0.9597457627118644,2209,0.053798852880329595,3.5364389973901904,0.9706422018348624
8,484,0.006439480257051544,0.12744382216071626,0.9572649572649573,904,0.0030157562198416255,0.23100155851189952,0.9162946428571429,1413,0.030462076037671704,1.4254773385039292,0.9724238026124818,1801,0.002467311910736125,0.06682799971363507,0.9916060436485731,1912,0.1087551160854181,10.130016165593005,0.9570905285190999,2207,0.053080894908897336,3.323875819706841,0.9746893695352048
9,487,0.006673091493954231,0.13982447870070402,0.9529914529914529,914,0.006858857234192883,0.5858603791797892,0.8986636971046771,1414,0.03677611883674681,1.7131215336304604,0.9724037763253449,1801,0.002578686067031044,0.060088275941135416,0.9927130044843049,1911,0.11267833792768722,10.437630962468992,0.957649550026469,2209,0.05880199986809287,3.8027469276495385,0.9714942528735632
10,486,0.005929254917755533,0.12922817010648724,0.9532908704883227,914,0.008044071281975929,0.7031841507544249,0.8947951273532669,1414,0.035712568086425756,1.6507635782651633,0.971718636693256,1801,0.00683219886370956,0.11041697502640524,0.9954929577464788,1911,0.11604641848491781,10.145860230110712,0.960167714884696,2208,0.0545332096821306,3.486052397986767,0.9719540229885058
11,482,0.007318378387592417,0.1659607815935802,0.945031712473573,917,0.003386046087555883,0.27094213939374456,0.9106334841628959,1414,0.03135313561608721,1.4511761455513807,0.9717595944967415,1803,0.00196159078481406,0.04741109788701625,0.9943757030371203,1913,0.10483886111516805,9.589652446567072,0.9581124072110286,2209,0.055567887416659634,3.644903337582903,0.9705882352941176
12,484,0.0057180457017230735,0.08435907670767873,0.9743589743589743,916,0.006590568853629741,0.5680621740620062,0.8963210702341137,1414,0.0360133262685578,1.678459122491541,0.971677559912854,1801,0.0021336779835798847,0.04716716725725201,0.9943788645306352,1912,0.1188924527318318,10.816094797172656,0.9586864406779662,2209,0.05546046993631204,3.6092888770222733,0.9706287287746673
