Name,Band,nm,FWHW
Band 1,1,402.4402,11.4145
Band 2,2,411.3164,10.5576
Band 3,3,419.3725,9.8359
Band 4,4,426.9674,9.4032
Band 5,5,434.3084,9.2516
Band 6,6,441.6589,9.2202
Band 7,7,449.0336,9.1464
Band 8,8,456.3773,9.081
Band 9,9,463.731,8.9596
Band 10,10,470.9489,8.9568
Band 11,11,478.1763,8.9518
Band 12,12,485.4096,9.0287
Band 13,13,492.6999,9.2035
Band 14,14,500.1372,9.2969
Band 15,15,507.6631,9.3685
Band 16,16,515.1758,9.4905
Band 17,17,522.9162,9.6373
Band 18,18,530.6671,9.6673
Band 19,19,538.4871,9.784
Band 20,20,546.48,9.9884
Band 21,21,554.5646,10.0571
Band 22,22,562.7366,10.1748
Band 23,23,571.0028,10.3089
Band 24,24,579.3517,10.3989
Band 25,25,587.8235,10.5485
Band 26,26,596.4751,10.797
Band 27,27,605.3912,10.9553
Band 28,28,614.1723,11.0427
Band 29,29,623.1971,11.2333
Band 30,30,632.1317,11.152
Band 31,31,641.3333,11.5326
Band 32,32,650.7905,11.6368
Band 33,33,660.2636,11.7189
Band 34,34,669.8167,11.8337
Band 35,35,679.4728,11.9657
Band 36,36,689.4208,12.0818
Band 37,37,699.0959,11.9817
Band 38,38,708.9966,12.4265
Band 39,39,719.1722,12.3529
Band 40,40,729.2445,12.411
Band 41,41,739.4175,12.5386
Band 42,42,749.7307,12.6172
Band 43,43,760.0969,12.7725
Band 44,44,770.5285,12.733
Band 45,45,780.9124,12.756
Band 46,46,791.3616,12.8286
Band 47,47,801.9366,12.9285
Band 48,48,812.5399,12.9449
Band 49,49,823.1458,12.9721
Band 50,50,833.7513,12.9899
Band 51,51,844.4271,13.0615
Band 52,52,855.1821,13.1318
Band 53,53,865.9494,13.1541
Band 54,54,876.6408,13.074
Band 55,55,887.2659,13.1026
Band 56,56,897.9865,13.1212
Band 57,57,908.644,13.0829
Band 58,58,919.1763,12.9155
Band 59,59,929.3855,12.7562
Band 60,60,939.86,13.1657
Band 61,61,951.3615,13.5228
Band 62,62,962.2645,12.9841
Band 63,63,972.6346,12.9115
Band 64,64,942.9579,10.9204
Band 65,65,951.0114,10.9617
Band 66,66,959.522,12.0486
Band 67,67,969.39,12.1082
Band 68,68,978.7377,12.209
Band 69,69,988.4116,12.3388
Band 70,70,998.3749,12.696
Band 71,71,1008.1683,12.4398
Band 72,72,1017.9846,12.9603
Band 73,73,1028.8063,13.0423
Band 74,74,1037.7646,13.306
Band 75,75,1047.4312,13.499
Band 76,76,1057.3804,13.6514
Band 77,77,1067.61,13.8627
Band 78,78,1078.0391,13.9894
Band 79,79,1088.5898,14.075
Band 80,80,1099.1083,14.0568
Band 81,81,1109.7408,14.4057
Band 82,82,1120.4946,14.03
Band 83,83,1131.1431,14.3447
Band 84,84,1141.8737,14.0994
Band 85,85,1152.4716,14.3206
Band 86,86,1163.4841,14.663
Band 87,87,1174.5258,14.3011
Band 88,88,1185.3979,14.3845
Band 89,89,1196.1748,14.3449
Band 90,90,1207.1149,14.5593
Band 91,91,1217.6959,14.3828
Band 92,92,1228.9989,14.7449
Band 93,93,1240.0568,14.3626
Band 94,94,1250.7955,14.7235
Band 95,95,1262.3344,14.9393
Band 96,96,1273.3064,14.5511
Band 97,97,1284.2795,14.5221
Band 98,98,1295.1967,14.4472
Band 99,99,1306.0472,14.4911
Band 100,100,1317.0177,14.5624
Band 101,101,1328.0897,14.6778
Band 102,102,1338.9463,14.4361
Band 103,103,1349.599,14.4754
Band 104,104,1360.8427,15.0889
Band 105,105,1372.719,14.5301
Band 106,106,1383.0083,14.8357
Band 107,107,1394.5247,14.2098
Band 108,108,1405.3883,14.3863
Band 109,109,1416.3103,14.2951
Band 110,110,1427.1056,14.0805
Band 111,111,1438.1699,14.6749
Band 112,112,1448.9209,13.8581
Band 113,113,1459.0675,13.6977
Band 114,114,1469.7003,14.239
Band 115,115,1480.6201,14.1659
Band 116,116,1491.1978,13.9777
Band 117,117,1501.7793,14.0893
Band 118,118,1512.4137,14.0035
Band 119,119,1523.0071,13.8995
Band 120,120,1533.5645,13.9136
Band 121,121,1544.0302,13.7394
Band 122,122,1554.5801,13.859
Band 123,123,1565.1215,13.7447
Band 124,124,1575.3931,13.5686
Band 125,125,1585.6315,13.6306
Band 126,126,1595.9795,13.6186
Band 127,127,1606.2433,13.4837
Band 128,128,1616.584,13.7311
Band 129,129,1626.7813,13.3018
Band 130,130,1636.8546,13.2492
Band 131,131,1646.9728,13.1748
Band 132,132,1656.7723,12.5826
Band 133,133,1666.9666,13.3697
Band 134,134,1677.1246,12.9115
Band 135,135,1687.1718,12.9978
Band 136,136,1697.0093,13.1254
Band 137,137,1706.8075,13.0138
Band 138,138,1716.5975,12.7113
Band 139,139,1726.4375,12.5729
Band 140,140,1736.2556,12.6983
Band 141,141,1745.9294,12.9179
Band 142,142,1755.549,12.8538
Band 143,143,1765.2532,12.419
Band 144,144,1774.9093,12.2814
Band 145,145,1784.4419,12.4928
Band 146,146,1793.6891,12.5225
Band 147,147,1803.366,12.2935
Band 148,148,1812.8206,12.2304
Band 149,149,1822.1488,12.8611
Band 150,150,1831.7412,12.2393
Band 151,151,1841.0494,12.4033
Band 152,152,1850.2787,12.3942
Band 153,153,1859.2976,12.0963
Band 154,154,1868.0181,11.1417
Band 155,155,1878.4633,12.5455
Band 156,156,1886.8109,11.5646
Band 157,157,1895.8464,11.5412
Band 158,158,1904.6282,12.522
Band 159,159,1914.0479,11.5709
Band 160,160,1923.0891,11.9529
Band 161,161,1931.9916,11.6295
Band 162,162,1940.8306,11.787
Band 163,163,1949.639,11.4809
Band 164,164,1958.3706,11.4182
Band 165,165,1967.059,11.5231
Band 166,166,1975.7814,11.3719
Band 167,167,1984.5479,11.5861
Band 168,168,1993.2886,11.2104
Band 169,169,2001.8428,11.3786
Band 170,170,2010.4103,11.1946
Band 171,171,2019.0496,11.2782
Band 172,172,2027.476,11.044
Band 173,173,2035.9952,11.2605
Band 174,174,2044.4224,10.9284
Band 175,175,2052.7573,11.0036
Band 176,176,2061.1379,10.8991
Band 177,177,2069.5388,11.1067
Band 178,178,2077.7517,10.8645
Band 179,179,2086.1008,11.04
Band 180,180,2094.4077,10.7768
Band 181,181,2102.5481,10.8345
Band 182,182,2110.8167,10.8051
Band 183,183,2118.9553,10.8
Band 184,184,2127.094,10.6244
Band 185,185,2135.2354,10.7053
Band 186,186,2143.2258,10.5265
Band 187,187,2151.1257,10.5508
Band 188,188,2159.2878,10.8186
Band 189,189,2167.2524,10.1865
Band 190,190,2175.0713,10.657
Band 191,191,2183.1833,10.3037
Band 192,192,2190.8354,10.3139
Band 193,193,2198.887,10.5506
Band 194,194,2206.5977,10.065
Band 195,195,2214.3416,10.3874
Band 196,196,2222.1929,10.1408
Band 197,197,2229.7532,10.2884
Band 198,198,2237.6477,10.3154
Band 199,199,2245.2136,10.0675
Band 200,200,2252.8484,10.1737
Band 201,201,2260.6279,10.2441
Band 202,202,2268.0422,9.8973
Band 203,203,2275.7695,10.232
Band 204,204,2283.2751,9.8134
Band 205,205,2290.573,10.0023
Band 206,206,2298.335,10.022
Band 207,207,2305.5022,9.6704
Band 208,208,2312.9121,10.1366
Band 209,209,2320.6401,9.7631
Band 210,210,2327.6069,9.6911
Band 211,211,2335.2361,10.0539
Band 212,212,2342.5889,9.6193
Band 213,213,2349.5752,9.5649
Band 214,214,2357.0225,9.9526
Band 215,215,2364.3708,9.5118
Band 216,216,2371.3364,9.5145
Band 217,217,2378.5095,9.6309
Band 218,218,2385.8086,9.7042
Band 219,219,2392.8418,9.2844
Band 220,220,2399.801,9.6337
Band 221,221,2407.3386,9.703
Band 222,222,2414.1565,8.9761
Band 223,223,2420.9873,9.6891
Band 224,224,2428.4001,9.4626
Band 225,225,2435.3269,9.3981
Band 226,226,2442.1877,8.7857
Band 227,227,2448.9236,9.4296
Band 228,228,2456.3296,9.4521
Band 229,229,2462.813,8.9016
Band 230,230,2469.4155,9.1476
Band 231,231,2476.7913,9.6792
Band 232,232,2483.5906,8.9831
Band 233,233,2490.0281,9.034
Band 234,234,2496.874,9.5281
